load_torque_Nm,current_A,speed_RPM,effective_voltage_V,mechanical_power_W,electrical_power_W,efficiency_percent,current_limited
0.00066,0.2821880651,3615.840868,24,0.2499089804,6.772513562,3.690047691,0
0.00067,0.2823538276,3615.828813,24,0.2536946342,6.776491863,3.74374587,0
0.00068,0.2825195901,3615.816757,24,0.2574802628,6.780470163,3.797380663,0
0.00069,0.2826853526,3615.804702,24,0.2612658662,6.784448463,3.850952183,0
0.0007,0.2828511151,3615.792646,24,0.2650514443,6.788426763,3.904460541,0
0.00071,0.2830168776,3615.780591,24,0.2688369972,6.792405063,3.957905848,0
0.00072,0.2831826401,3615.768535,24,0.2726225248,6.796383363,4.011288214,0
0.00073,0.2833484027,3615.75648,24,0.2764080272,6.800361664,4.06460775,0
0.00074,0.2835141652,3615.744424,24,0.2801935043,6.804339964,4.117864566,0
0.00075,0.2836799277,3615.732369,24,0.2839789562,6.808318264,4.171058772,0
0.00076,0.2838456902,3615.720313,24,0.2877643828,6.812296564,4.224190478,0
0.00077,0.2840114527,3615.708258,24,0.2915497842,6.816274864,4.277259793,0
0.00078,0.2841772152,3615.696203,24,0.2953351603,6.820253165,4.330266827,0
0.00079,0.2843429777,3615.684147,24,0.2991205112,6.824231465,4.383211688,0
0.0008,0.2845087402,3615.672092,24,0.3029058368,6.828209765,4.436094485,0
0.00081,0.2846745027,3615.660036,24,0.3066911372,6.832188065,4.488915327,0
0.00082,0.2848402652,3615.647981,24,0.3104764123,6.836166365,4.541674321,0
0.00083,0.2850060277,3615.635925,24,0.3142616622,6.840144665,4.594371575,0
0.00084,0.2851717902,3615.62387,24,0.3180468869,6.844122966,4.647007198,0
0.00085,0.2853375527,3615.611814,24,0.3218320862,6.848101266,4.699581296,0
0.00086,0.2855033153,3615.599759,24,0.3256172604,6.852079566,4.752093977,0
0.00087,0.2856690778,3615.587703,24,0.3294024093,6.856057866,4.804545348,0
0.00088,0.2858348403,3615.575648,24,0.3331875329,6.860036166,4.856935515,0
0.00089,0.2860006028,3615.563593,24,0.3369726313,6.864014467,4.909264585,0
0.0009,0.2861663653,3615.551537,24,0.3407577044,6.867992767,4.961532663,0
0.00091,0.2863321278,3615.539482,24,0.3445427523,6.871971067,5.013739857,0
0.00092,0.2864978903,3615.527426,24,0.348327775,6.875949367,5.065886271,0
0.00093,0.2866636528,3615.515371,24,0.3521127724,6.879927667,5.117972011,0
0.00094,0.2868294153,3615.503315,24,0.3558977445,6.883905967,5.169997182,0
0.00095,0.2869951778,3615.49126,24,0.3596826914,6.887884268,5.221961889,0
0.00096,0.2871609403,3615.479204,24,0.363467613,6.891862568,5.273866237,0
0.00097,0.2873267028,3615.467149,24,0.3672525094,6.895840868,5.32571033,0
0.00098,0.2874924653,3615.455093,24,0.3710373806,6.899819168,5.377494273,0
0.00099,0.2876582278,3615.443038,24,0.3748222265,6.903797468,5.429218169,0
0.001,0.2878239904,3615.430983,24,0.3786070471,6.907775769,5.480882122,0
0.00101,0.2879897529,3615.418927,24,0.3823918425,6.911754069,5.532486236,0
0.00102,0.2881555154,3615.406872,24,0.3861766127,6.915732369,5.584030615,0
0.00103,0.2883212779,3615.394816,24,0.3899613576,6.919710669,5.63551536,0
0.00104,0.2884870404,3615.382761,24,0.3937460773,6.923688969,5.686940575,0
0.00105,0.2886528029,3615.370705,24,0.3975307717,6.927667269,5.738306362,0
0.00106,0.2888185654,3615.35865,24,0.4013154408,6.93164557,5.789612824,0
0.00107,0.2889843279,3615.346594,24,0.4051000847,6.93562387,5.840860063,0
0.00108,0.2891500904,3615.334539,24,0.4088847034,6.93960217,5.892048181,0
0.00109,0.2893158529,3615.322483,24,0.4126692968,6.94358047,5.943177278,0
0.0011,0.2894816154,3615.310428,24,0.416453865,6.94755877,5.994247458,0
0.00111,0.2896473779,3615.298373,24,0.4202384079,6.951537071,6.04525882,0
0.00112,0.2898131404,3615.286317,24,0.4240229255,6.955515371,6.096211466,0
0.00113,0.289978903,3615.274262,24,0.427807418,6.959493671,6.147105496,0
0.00114,0.2901446655,3615.262206,24,0.4315918851,6.963471971,6.197941012,0
0.00115,0.290310428,3615.250151,24,0.435376327,6.967450271,6.248718112,0
0.00116,0.2904761905,3615.238095,24,0.4391607437,6.971428571,6.299436898,0
0.00117,0.290641953,3615.22604,24,0.4429451351,6.975406872,6.350097468,0
