load_torque_Nm;current_A
0.00234;0.3100361664
0.00235;0.3102019289
0.00236;0.3103676914
0.00237;0.3105334539
0.00238;0.3106992164
0.00239;0.3108649789
0.0024;0.3110307414
0.00241;0.3111965039
0.00242;0.3113622664
0.00243;0.3115280289
0.00244;0.3116937914
0.00245;0.3118595539
0.00246;0.3120253165
0.00247;0.312191079
0.00248;0.3123568415
0.00249;0.312522604
0.0025;0.3126883665
0.00251;0.312854129
0.00252;0.3130198915
0.00253;0.313185654
0.00254;0.3133514165
0.00255;0.313517179
0.00256;0.3136829415
0.00257;0.313848704
0.00258;0.3140144665
0.00259;0.3141802291
0.0026;0.3143459916
0.00261;0.3145117541
0.00262;0.3146775166
0.00263;0.3148432791
0.00264;0.3150090416
0.00265;0.3151748041
0.00266;0.3153405666
0.00267;0.3155063291
0.00268;0.3156720916
0.00269;0.3158378541
0.0027;0.3160036166
0.00271;0.3161693791
0.00272;0.3163351417
0.00273;0.3165009042
0.00274;0.3166666667
0.00275;0.3168324292
0.00276;0.3169981917
0.00277;0.3171639542
0.00278;0.3173297167
0.00279;0.3174954792
0.0028;0.3176612417
0.00281;0.3178270042
0.00282;0.3179927667
0.00283;0.3181585292
0.00284;0.3183242917
0.00285;0.3184900542
0.00286;0.3186558168
0.00287;0.3188215793
0.00288;0.3189873418
0.00289;0.3191531043
0.0029;0.3193188668
0.00291;0.3194846293
0.00292;0.3196503918
0.00293;0.3198161543
0.00294;0.3199819168
0.00295;0.3201476793
0.00296;0.3203134418
0.00297;0.3204792043
0.00298;0.3206449668
0.00299;0.3208107294
0.003;0.3209764919
0.00301;0.3211422544
0.00302;0.3213080169
0.00303;0.3214737794
0.00304;0.3216395419
0.00305;0.3218053044
0.00306;0.3219710669
0.00307;0.3221368294
0.00308;0.3223025919
0.00309;0.3224683544
0.0031;0.3226341169
0.00311;0.3227998794
0.00312;0.322965642
0.00313;0.3231314045
0.00314;0.323297167
0.00315;0.3234629295
0.00316;0.323628692
0.00317;0.3237944545
0.00318;0.323960217
0.00319;0.3241259795
0.0032;0.324291742
0.00321;0.3244575045
0.00322;0.324623267
0.00323;0.3247890295
0.00324;0.324954792
0.00325;0.3251205546
0.00326;0.3252863171
0.00327;0.3254520796
0.00328;0.3256178421
0.00329;0.3257836046
0.0033;0.3259493671
0.00331;0.3261151296
0.00332;0.3262808921
0.00333;0.3264466546
0.00334;0.3266124171
0.00335;0.3267781796
0.00336;0.3269439421
0.00337;0.3271097046
0.00338;0.3272754671
0.00339;0.3274412297
0.0034;0.3276069922
0.00341;0.3277727547
0.00342;0.3279385172
0.00343;0.3281042797
0.00344;0.3282700422
0.00345;0.3284358047
0.00346;0.3286015672
0.00347;0.3287673297
0.00348;0.3289330922
0.00349;0.3290988547
0.0035;0.3292646172
0.00351;0.3294303797
0.00352;0.3295961423
0.00353;0.3297619048
0.00354;0.3299276673
0.00355;0.3300934298
0.00356;0.3302591923
0.00357;0.3304249548
0.00358;0.3305907173
0.00359;0.3307564798
0.0036;0.3309222423
0.00361;0.3310880048
0.00362;0.3312537673
0.00363;0.3314195298
0.00364;0.3315852923
0.00365;0.3317510549
0.00366;0.3319168174
0.00367;0.3320825799
0.00368;0.3322483424
0.00369;0.3324141049
0.0037;0.3325798674
0.00371;0.3327456299
0.00372;0.3329113924
0.00373;0.3330771549
0.00374;0.3332429174
0.00375;0.3334086799
0.00376;0.3335744424
0.00377;0.3337402049
0.00378;0.3339059675
0.00379;0.33407173
0.0038;0.3342374925
0.00381;0.334403255
0.00382;0.3345690175
0.00383;0.33473478
0.00384;0.3349005425
0.00385;0.335066305
0.00386;0.3352320675
0.00387;0.33539783
0.00388;0.3355635925
0.00389;0.335729355
0.0039;0.3358951175
0.00391;0.33606088
0.00392;0.3362266426
0.00393;0.3363924051
0.00394;0.3365581676
0.00395;0.3367239301
0.00396;0.3368896926
0.00397;0.3370554551
0.00398;0.3372212176
0.00399;0.3373869801
0.004;0.3375527426
0.00401;0.3377185051
0.00402;0.3378842676
0.00403;0.3380500301
0.00404;0.3382157926
0.00405;0.3383815552
0.00406;0.3385473177
0.00407;0.3387130802
0.00408;0.3388788427
0.00409;0.3390446052
