load_torque_Nm;speed_RPM
0.00253;3613.586498
0.00254;3613.574442
0.00255;3613.562387
0.00256;3613.550332
0.00257;3613.538276
0.00258;3613.526221
0.00259;3613.514165
0.0026;3613.50211
0.00261;3613.490054
0.00262;3613.477999
0.00263;3613.465943
0.00264;3613.453888
0.00265;3613.441832
0.00266;3613.429777
0.00267;3613.417722
0.00268;3613.405666
0.00269;3613.393611
0.0027;3613.381555
0.00271;3613.3695
0.00272;3613.357444
0.00273;3613.345389
0.00274;3613.333333
0.00275;3613.321278
0.00276;3613.309222
0.00277;3613.297167
0.00278;3613.285112
0.00279;3613.273056
0.0028;3613.261001
0.00281;3613.248945
0.00282;3613.23689
0.00283;3613.224834
0.00284;3613.212779
0.00285;3613.200723
0.00286;3613.188668
0.00287;3613.176612
0.00288;3613.164557
0.00289;3613.152502
0.0029;3613.140446
0.00291;3613.128391
0.00292;3613.116335
0.00293;3613.10428
0.00294;3613.092224
0.00295;3613.080169
0.00296;3613.068113
0.00297;3613.056058
0.00298;3613.044002
0.00299;3613.031947
0.003;3613.019892
0.00301;3613.007836
0.00302;3612.995781
0.00303;3612.983725
0.00304;3612.97167
0.00305;3612.959614
0.00306;3612.947559
0.00307;3612.935503
0.00308;3612.923448
0.00309;3612.911392
0.0031;3612.899337
0.00311;3612.887281
0.00312;3612.875226
0.00313;3612.863171
0.00314;3612.851115
0.00315;3612.83906
0.00316;3612.827004
0.00317;3612.814949
0.00318;3612.802893
0.00319;3612.790838
0.0032;3612.778782
0.00321;3612.766727
0.00322;3612.754671
0.00323;3612.742616
0.00324;3612.730561
0.00325;3612.718505
0.00326;3612.70645
0.00327;3612.694394
0.00328;3612.682339
0.00329;3612.670283
0.0033;3612.658228
0.00331;3612.646172
0.00332;3612.634117
0.00333;3612.622061
0.00334;3612.610006
0.00335;3612.597951
0.00336;3612.585895
0.00337;3612.57384
0.00338;3612.561784
0.00339;3612.549729
0.0034;3612.537673
0.00341;3612.525618
0.00342;3612.513562
0.00343;3612.501507
0.00344;3612.489451
0.00345;3612.477396
0.00346;3612.465341
0.00347;3612.453285
0.00348;3612.44123
0.00349;3612.429174
0.0035;3612.417119
0.00351;3612.405063
0.00352;3612.393008
0.00353;3612.380952
0.00354;3612.368897
0.00355;3612.356841
0.00356;3612.344786
0.00357;3612.332731
0.00358;3612.320675
0.00359;3612.30862
0.0036;3612.296564
0.00361;3612.284509
0.00362;3612.272453
0.00363;3612.260398
0.00364;3612.248342
0.00365;3612.236287
0.00366;3612.224231
0.00367;3612.212176
0.00368;3612.200121
0.00369;3612.188065
0.0037;3612.17601
0.00371;3612.163954
0.00372;3612.151899
0.00373;3612.139843
0.00374;3612.127788
0.00375;3612.115732
0.00376;3612.103677
0.00377;3612.091621
0.00378;3612.079566
0.00379;3612.067511
0.0038;3612.055455
0.00381;3612.0434
0.00382;3612.031344
0.00383;3612.019289
0.00384;3612.007233
0.00385;3611.995178
0.00386;3611.983122
0.00387;3611.971067
0.00388;3611.959011
0.00389;3611.946956
0.0039;3611.934901
0.00391;3611.922845
0.00392;3611.91079
0.00393;3611.898734
0.00394;3611.886679
0.00395;3611.874623
0.00396;3611.862568
0.00397;3611.850512
0.00398;3611.838457
0.00399;3611.826401
0.004;3611.814346
0.00401;3611.802291
0.00402;3611.790235
0.00403;3611.77818
0.00404;3611.766124
0.00405;3611.754069
0.00406;3611.742013
0.00407;3611.729958
0.00408;3611.717902
0.00409;3611.705847
0.0041;3611.693791
0.00411;3611.681736
0.00412;3611.669681
0.00413;3611.657625
0.00414;3611.64557
0.00415;3611.633514
0.00416;3611.621459
0.00417;3611.609403
0.00418;3611.597348
0.00419;3611.585292
0.0042;3611.573237
0.00421;3611.561181
0.00422;3611.549126
0.00423;3611.537071
0.00424;3611.525015
0.00425;3611.51296
0.00426;3611.500904
0.00427;3611.488849
0.00428;3611.476793
0.00429;3611.464738
0.0043;3611.452682
0.00431;3611.440627
0.00432;3611.428571
0.00433;3611.416516
0.00434;3611.404461
0.00435;3611.392405
0.00436;3611.38035
0.00437;3611.368294
0.00438;3611.356239
0.00439;3611.344183
0.0044;3611.332128
0.00441;3611.320072
0.00442;3611.308017
0.00443;3611.295961
0.00444;3611.283906
0.00445;3611.271851
0.00446;3611.259795
0.00447;3611.24774
0.00448;3611.235684
0.00449;3611.223629
0.0045;3611.211573
0.00451;3611.199518
0.00452;3611.187462
0.00453;3611.175407
0.00454;3611.163351
0.00455;3611.151296
0.00456;3611.139241
0.00457;3611.127185
0.00458;3611.11513
0.00459;3611.103074
0.0046;3611.091019
0.00461;3611.078963
0.00462;3611.066908
0.00463;3611.054852
0.00464;3611.042797
0.00465;3611.030741
0.00466;3611.018686
0.00467;3611.006631
0.00468;3610.994575
0.00469;3610.98252
0.0047;3610.970464
0.00471;3610.958409
0.00472;3610.946353
0.00473;3610.934298
0.00474;3610.922242
0.00475;3610.910187
0.00476;3610.898131
0.00477;3610.886076
0.00478;3610.87402
0.00479;3610.861965
0.0048;3610.84991
0.00481;3610.837854
0.00482;3610.825799
0.00483;3610.813743
0.00484;3610.801688
0.00485;3610.789632
0.00486;3610.777577
0.00487;3610.765521
0.00488;3610.753466
0.00489;3610.74141
0.0049;3610.729355
0.00491;3610.7173
0.00492;3610.705244
0.00493;3610.693189
0.00494;3610.681133
0.00495;3610.669078
0.00496;3610.657022
0.00497;3610.644967
0.00498;3610.632911
0.00499;3610.620856
0.005;3610.6088
0.00501;3610.596745
0.00502;3610.58469
0.00503;3610.572634
0.00504;3610.560579
0.00505;3610.548523
0.00506;3610.536468
0.00507;3610.524412
0.00508;3610.512357
0.00509;3610.500301
0.0051;3610.488246
0.00511;3610.47619
0.00512;3610.464135
0.00513;3610.45208
0.00514;3610.440024
0.00515;3610.427969
0.00516;3610.415913
0.00517;3610.403858
0.00518;3610.391802
0.00519;3610.379747
0.0052;3610.367691
0.00521;3610.355636
0.00522;3610.34358
0.00523;3610.331525
0.00524;3610.31947
0.00525;3610.307414
0.00526;3610.295359
0.00527;3610.283303
0.00528;3610.271248
0.00529;3610.259192
0.0053;3610.247137
0.00531;3610.235081
0.00532;3610.223026
0.00533;3610.21097
0.00534;3610.198915
0.00535;3610.18686
0.00536;3610.174804
0.00537;3610.162749
0.00538;3610.150693
0.00539;3610.138638
0.0054;3610.126582
0.00541;3610.114527
0.00542;3610.102471
0.00543;3610.090416
0.00544;3610.07836
0.00545;3610.066305
0.00546;3610.05425
0.00547;3610.042194
0.00548;3610.030139
0.00549;3610.018083
0.0055;3610.006028
0.00551;3609.993972
0.00552;3609.981917
0.00553;3609.969861
0.00554;3609.957806
0.00555;3609.94575
0.00556;3609.933695
0.00557;3609.92164
0.00558;3609.909584
0.00559;3609.897529
0.0056;3609.885473
0.00561;3609.873418
0.00562;3609.861362
0.00563;3609.849307
0.00564;3609.837251
0.00565;3609.825196
0.00566;3609.81314
0.00567;3609.801085
0.00568;3609.78903
0.00569;3609.776974
0.0057;3609.764919
0.00571;3609.752863
0.00572;3609.740808
0.00573;3609.728752
0.00574;3609.716697
0.00575;3609.704641
0.00576;3609.692586
0.00577;3609.68053
0.00578;3609.668475
0.00579;3609.65642
0.0058;3609.644364
0.00581;3609.632309
0.00582;3609.620253
0.00583;3609.608198
0.00584;3609.596142
0.00585;3609.584087
0.00586;3609.572031
0.00587;3609.559976
0.00588;3609.54792
0.00589;3609.535865
0.0059;3609.52381
0.00591;3609.511754
0.00592;3609.499699
0.00593;3609.487643
0.00594;3609.475588
0.00595;3609.463532
0.00596;3609.451477
0.00597;3609.439421
0.00598;3609.427366
0.00599;3609.41531
0.006;3609.403255
0.00601;3609.3912
0.00602;3609.379144
0.00603;3609.367089
0.00604;3609.355033
0.00605;3609.342978
0.00606;3609.330922
0.00607;3609.318867
0.00608;3609.306811
0.00609;3609.294756
0.0061;3609.2827
0.00611;3609.270645
0.00612;3609.25859
0.00613;3609.246534
0.00614;3609.234479
0.00615;3609.222423
0.00616;3609.210368
0.00617;3609.198312
0.00618;3609.186257
0.00619;3609.174201
0.0062;3609.162146
0.00621;3609.15009
0.00622;3609.138035
0.00623;3609.12598
