load_torque_Nm;efficiency_percent
0.00252;12.69363143
0.00253;12.73721536
0.00254;12.78075285
0.00255;12.82424396
0.00256;12.86768876
0.00257;12.91108735
0.00258;12.95443977
0.00259;12.99774612
0.0026;13.04100646
0.00261;13.08422087
0.00262;13.12738941
0.00263;13.17051216
0.00264;13.2135892
0.00265;13.25662059
0.00266;13.2996064
0.00267;13.34254672
0.00268;13.3854416
0.00269;13.42829113
0.0027;13.47109537
0.00271;13.51385439
0.00272;13.55656827
0.00273;13.59923707
0.00274;13.64186087
0.00275;13.68443974
0.00276;13.72697375
0.00277;13.76946296
0.00278;13.81190745
0.00279;13.8543073
0.0028;13.89666256
0.00281;13.93897331
0.00282;13.98123961
0.00283;14.02346155
0.00284;14.06563918
0.00285;14.10777257
0.00286;14.14986181
0.00287;14.19190694
0.00288;14.23390805
0.00289;14.2758652
0.0029;14.31777846
0.00291;14.35964789
0.00292;14.40147357
0.00293;14.44325557
0.00294;14.48499395
0.00295;14.52668878
0.00296;14.56834012
0.00297;14.60994805
0.00298;14.65151263
0.00299;14.69303394
0.003;14.73451202
0.00301;14.77594696
0.00302;14.81733883
0.00303;14.85868767
0.00304;14.89999358
0.00305;14.9412566
0.00306;14.9824768
0.00307;15.02365426
0.00308;15.06478904
0.00309;15.1058812
0.0031;15.14693081
0.00311;15.18793793
0.00312;15.22890264
0.00313;15.26982499
0.00314;15.31070505
0.00315;15.35154289
0.00316;15.39233856
0.00317;15.43309215
0.00318;15.4738037
0.00319;15.51447329
0.0032;15.55510097
0.00321;15.59568682
0.00322;15.6362309
0.00323;15.67673327
0.00324;15.71719399
0.00325;15.75761313
0.00326;15.79799076
0.00327;15.83832693
0.00328;15.8786217
0.00329;15.91887516
0.0033;15.95908734
0.00331;15.99925832
0.00332;16.03938817
0.00333;16.07947694
0.00334;16.11952469
0.00335;16.1595315
0.00336;16.19949741
0.00337;16.2394225
0.00338;16.27930682
0.00339;16.31915044
0.0034;16.35895342
0.00341;16.39871582
0.00342;16.4384377
0.00343;16.47811912
0.00344;16.51776015
0.00345;16.55736084
0.00346;16.59692126
0.00347;16.63644147
0.00348;16.67592153
0.00349;16.71536149
0.0035;16.75476143
0.00351;16.7941214
0.00352;16.83344145
0.00353;16.87272166
0.00354;16.91196208
0.00355;16.95116277
0.00356;16.99032379
0.00357;17.0294452
0.00358;17.06852706
0.00359;17.10756943
0.0036;17.14657236
0.00361;17.18553593
0.00362;17.22446018
0.00363;17.26334518
0.00364;17.30219098
0.00365;17.34099765
0.00366;17.37976524
0.00367;17.41849381
0.00368;17.45718341
0.00369;17.49583412
0.0037;17.53444598
0.00371;17.57301906
0.00372;17.6115534
0.00373;17.65004908
0.00374;17.68850614
0.00375;17.72692465
0.00376;17.76530466
0.00377;17.80364623
0.00378;17.84194941
0.00379;17.88021427
0.0038;17.91844086
0.00381;17.95662924
0.00382;17.99477947
0.00383;18.03289159
0.00384;18.07096567
0.00385;18.10900177
0.00386;18.14699994
0.00387;18.18496023
0.00388;18.22288271
0.00389;18.26076743
0.0039;18.29861444
0.00391;18.3364238
0.00392;18.37419557
0.00393;18.4119298
0.00394;18.44962655
0.00395;18.48728587
0.00396;18.52490782
0.00397;18.56249245
0.00398;18.60003982
0.00399;18.63754998
0.004;18.675023
0.00401;18.71245891
0.00402;18.74985778
0.00403;18.78721967
0.00404;18.82454462
0.00405;18.86183269
0.00406;18.89908393
0.00407;18.9362984
0.00408;18.97347616
0.00409;19.01061725
0.0041;19.04772174
0.00411;19.08478966
0.00412;19.12182109
0.00413;19.15881606
0.00414;19.19577464
0.00415;19.23269688
0.00416;19.26958283
0.00417;19.30643254
0.00418;19.34324607
0.00419;19.38002346
0.0042;19.41676478
0.00421;19.45347007
0.00422;19.49013939
0.00423;19.52677279
0.00424;19.56337033
0.00425;19.59993204
0.00426;19.63645799
0.00427;19.67294823
0.00428;19.70940282
0.00429;19.74582179
0.0043;19.7822052
0.00431;19.81855311
0.00432;19.85486557
0.00433;19.89114263
0.00434;19.92738433
0.00435;19.96359074
0.00436;19.99976189
0.00437;20.03589785
0.00438;20.07199866
0.00439;20.10806438
0.0044;20.14409505
0.00441;20.18009073
0.00442;20.21605147
0.00443;20.25197731
0.00444;20.2878683
0.00445;20.32372451
0.00446;20.35954597
0.00447;20.39533274
0.00448;20.43108487
0.00449;20.4668024
0.0045;20.50248539
0.00451;20.53813389
0.00452;20.57374794
0.00453;20.6093276
0.00454;20.64487291
0.00455;20.68038393
0.00456;20.7158607
0.00457;20.75130327
0.00458;20.78671169
0.00459;20.82208602
0.0046;20.85742629
0.00461;20.89273256
0.00462;20.92800488
0.00463;20.96324329
0.00464;20.99844784
0.00465;21.03361859
0.00466;21.06875557
0.00467;21.10385885
0.00468;21.13892846
0.00469;21.17396445
0.0047;21.20896688
0.00471;21.24393579
0.00472;21.27887122
0.00473;21.31377323
0.00474;21.34864186
0.00475;21.38347716
0.00476;21.41827918
0.00477;21.45304796
0.00478;21.48778355
0.00479;21.522486
0.0048;21.55715536
0.00481;21.59179167
0.00482;21.62639498
0.00483;21.66096534
0.00484;21.69550279
0.00485;21.73000738
0.00486;21.76447915
0.00487;21.79891816
0.00488;21.83332444
0.00489;21.86769805
0.0049;21.90203903
0.00491;21.93634743
0.00492;21.97062329
0.00493;22.00486666
0.00494;22.03907758
0.00495;22.0732561
0.00496;22.10740227
0.00497;22.14151612
0.00498;22.17559772
0.00499;22.20964709
0.005;22.2436643
0.00501;22.27764937
0.00502;22.31160236
0.00503;22.34552332
0.00504;22.37941228
0.00505;22.41326929
0.00506;22.4470944
0.00507;22.48088765
0.00508;22.51464909
0.00509;22.54837876
0.0051;22.5820767
0.00511;22.61574296
0.00512;22.64937758
0.00513;22.68298061
0.00514;22.7165521
0.00515;22.75009208
0.00516;22.78360059
0.00517;22.81707769
0.00518;22.85052342
0.00519;22.88393782
0.0052;22.91732093
0.00521;22.95067281
0.00522;22.98399348
0.00523;23.01728299
0.00524;23.0505414
0.00525;23.08376873
0.00526;23.11696504
0.00527;23.15013037
0.00528;23.18326476
0.00529;23.21636824
0.0053;23.24944088
0.00531;23.2824827
0.00532;23.31549376
0.00533;23.34847409
0.00534;23.38142373
0.00535;23.41434273
0.00536;23.44723114
0.00537;23.48008898
0.00538;23.51291631
0.00539;23.54571317
0.0054;23.5784796
0.00541;23.61121564
0.00542;23.64392133
0.00543;23.67659672
0.00544;23.70924184
0.00545;23.74185674
0.00546;23.77444146
0.00547;23.80699605
0.00548;23.83952053
0.00549;23.87201496
0.0055;23.90447937
0.00551;23.93691381
0.00552;23.96931832
0.00553;24.00169294
0.00554;24.0340377
0.00555;24.06635266
0.00556;24.09863784
0.00557;24.1308933
0.00558;24.16311907
0.00559;24.1953152
0.0056;24.22748171
0.00561;24.25961866
0.00562;24.29172609
0.00563;24.32380403
0.00564;24.35585252
0.00565;24.38787161
0.00566;24.41986133
0.00567;24.45182173
0.00568;24.48375284
0.00569;24.51565471
0.0057;24.54752737
0.00571;24.57937086
0.00572;24.61118523
0.00573;24.64297051
0.00574;24.67472675
0.00575;24.70645398
0.00576;24.73815223
0.00577;24.76982156
0.00578;24.801462
0.00579;24.83307359
0.0058;24.86465636
0.00581;24.89621037
0.00582;24.92773564
0.00583;24.95923221
0.00584;24.99070013
0.00585;25.02213942
0.00586;25.05355014
0.00587;25.08493232
0.00588;25.116286
0.00589;25.14761121
0.0059;25.178908
0.00591;25.2101764
0.00592;25.24141646
0.00593;25.2726282
0.00594;25.30381167
0.00595;25.3349669
0.00596;25.36609394
0.00597;25.39719282
0.00598;25.42826358
0.00599;25.45930625
0.006;25.49032088
0.00601;25.5213075
0.00602;25.55226615
0.00603;25.58319687
0.00604;25.61409969
0.00605;25.64497466
0.00606;25.6758218
0.00607;25.70664116
0.00608;25.73743277
0.00609;25.76819668
0.0061;25.79893291
0.00611;25.82964151
0.00612;25.8603225
0.00613;25.89097594
0.00614;25.92160185
0.00615;25.95220027
0.00616;25.98277124
0.00617;26.01331479
0.00618;26.04383097
0.00619;26.0743198
0.0062;26.10478133
0.00621;26.13521559
0.00622;26.16562261
0.00623;26.19600244
0.00624;26.2263551
0.00625;26.25668064
0.00626;26.28697909
0.00627;26.31725049
0.00628;26.34749487
0.00629;26.37771227
0.0063;26.40790272
0.00631;26.43806627
0.00632;26.46820293
0.00633;26.49831276
0.00634;26.52839578
0.00635;26.55845204
0.00636;26.58848156
0.00637;26.61848439
0.00638;26.64846055
0.00639;26.67841009
0.0064;26.70833303
0.00641;26.73822941
0.00642;26.76809928
0.00643;26.79794265
0.00644;26.82775958
0.00645;26.85755008
0.00646;26.8873142
0.00647;26.91705198
0.00648;26.94676344
0.00649;26.97644862
0.0065;27.00610756
0.00651;27.03574028
0.00652;27.06534683
0.00653;27.09492724
0.00654;27.12448154
0.00655;27.15400977
0.00656;27.18351196
0.00657;27.21298814
0.00658;27.24243836
0.00659;27.27186263
0.0066;27.301261
0.00661;27.33063351
0.00662;27.35998017
0.00663;27.38930104
0.00664;27.41859614
0.00665;27.4478655
0.00666;27.47710916
0.00667;27.50632715
0.00668;27.53551951
0.00669;27.56468627
0.0067;27.59382746
0.00671;27.62294312
0.00672;27.65203327
0.00673;27.68109796
0.00674;27.71013721
0.00675;27.73915106
0.00676;27.76813954
0.00677;27.79710269
0.00678;27.82604053
0.00679;27.8549531
0.0068;27.88384044
